2024-04-24T09:46:59.980Z transformInclude 
2024-04-24T09:47:00.028Z transformInclude /Users/maxprilutskiy/Replexica/replexica/demo/next-app-shadcnui/src/app/layout.tsx
2024-04-24T09:47:00.030Z transformInclude /Users/maxprilutskiy/Replexica/replexica/demo/next-app-shadcnui/src/app/shadcnui/page.tsx
2024-04-24T09:47:00.030Z transformInclude /Users/maxprilutskiy/Replexica/replexica/demo/next-app-shadcnui/src/app/favicon.ico?__next_metadata__
2024-04-24T09:47:00.041Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/error-boundary.js
2024-04-24T09:47:00.041Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/not-found-error.js
2024-04-24T09:47:00.042Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/future/route-kind.js
2024-04-24T09:47:00.042Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/app-render/entry-base.js
2024-04-24T09:47:00.042Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/future/route-modules/app-page/module.compiled.js
2024-04-24T09:47:00.186Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/error-boundary.js
2024-04-24T09:47:00.191Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/lib/metadata/get-metadata-route.js
2024-04-24T09:47:00.192Z transformInclude /Users/maxprilutskiy/Replexica/replexica/demo/next-app-shadcnui/src/app/globals.css
2024-04-24T09:47:00.194Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/app-router.js
2024-04-24T09:47:00.195Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/layout-router.js
2024-04-24T09:47:00.195Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/render-from-template-context.js
2024-04-24T09:47:00.195Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/client-page.js
2024-04-24T09:47:00.195Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/search-params.js
2024-04-24T09:47:00.195Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/hooks-server-context.js
2024-04-24T09:47:00.195Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/client/components/not-found-boundary.js
2024-04-24T09:47:00.199Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/lib/patch-fetch.js
2024-04-24T09:47:00.200Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/app-render/rsc/preloads.js
2024-04-24T09:47:00.200Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/app-render/rsc/postpone.js
2024-04-24T09:47:00.200Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/app-render/rsc/taint.js
2024-04-24T09:47:00.295Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/server-utils.js
2024-04-24T09:47:00.295Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/lib/metadata/is-metadata-route.js
2024-04-24T09:47:00.356Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/app-render/dynamic-rendering.js
2024-04-24T09:47:00.356Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/app-render/dynamic-rendering.js
2024-04-24T09:47:00.356Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/app-render/dynamic-rendering.js
2024-04-24T09:47:00.357Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/lib/constants.js
2024-04-24T09:47:00.358Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/hash.js
2024-04-24T09:47:00.359Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/isomorphic/path.js
2024-04-24T09:47:00.359Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/page-path/normalize-path-sep.js
2024-04-24T09:47:00.359Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/router/utils/route-regex.js
2024-04-24T09:47:00.359Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/router/utils/app-paths.js
2024-04-24T09:47:00.389Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/page-path/normalize-path-sep.js
2024-04-24T09:47:00.390Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/lib/constants.js
2024-04-24T09:47:00.391Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/router/utils/route-regex.js
2024-04-24T09:47:00.391Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/router/utils/app-paths.js
2024-04-24T09:47:00.391Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/build/webpack/loaders/next-flight-loader/module-proxy.js
2024-04-24T09:47:00.392Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/build/webpack/loaders/next-flight-loader/module-proxy.js
2024-04-24T09:47:00.392Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/build/webpack/loaders/next-flight-loader/module-proxy.js
2024-04-24T09:47:00.392Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/build/webpack/loaders/next-flight-loader/module-proxy.js
2024-04-24T09:47:00.392Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/build/webpack/loaders/next-flight-loader/module-proxy.js
2024-04-24T09:47:00.392Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/build/webpack/loaders/next-flight-loader/module-proxy.js
2024-04-24T09:47:00.392Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/lib/trace/constants.js
2024-04-24T09:47:00.392Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/server/lib/trace/tracer.js
2024-04-24T09:47:00.393Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/build/output/log.js
2024-04-24T09:47:00.404Z transformInclude /Users/maxprilutskiy/Replexica/replexica/node_modules/.pnpm/next@14.2.1_react-dom@18.2.0_react@18.2.0/node_modules/next/dist/shared/lib/router/utils/path-match.js
